年份,行业代码,行业名称,指标,均值,样本量
2021,D,电力热力燃气,Cash（现金比率）,0.062076622447704594,38
2021,D,电力热力燃气,TA（总资产，元）,52066182200.65709,100
2021,D,电力热力燃气,TE（净资产，元）,18767720141.886967,99
2021,G,交通运输,SLoan（短期借款比率）,0.08554906260879921,175
2021,G,交通运输,LLoan（长期借款比率）,0.06641285307506044,121
2021,G,交通运输,Lev（总负债率）,0.4447162520935024,231
2021,G,交通运输,Cash（现金比率）,0.07604343859858766,129
2021,G,交通运输,TA（总资产，元）,16907083187.387688,229
2021,G,交通运输,TE（净资产，元）,8492887793.854184,227
2021,E,建筑业,SLoan（短期借款比率）,0.08721781427384681,87
2021,E,建筑业,LLoan（长期借款比率）,0.10269187957908431,83
2021,E,建筑业,Lev（总负债率）,0.6664376844514222,103
2021,E,建筑业,Cash（现金比率）,0.024767818677696094,55
2021,E,建筑业,TA（总资产，元）,109952532510.7608,101
2021,E,建筑业,TE（净资产，元）,28739610070.2737,100
2021,K,房地产业,SLoan（短期借款比率）,0.10016859732878297,60
2021,K,房地产业,LLoan（长期借款比率）,0.1072909920239589,57
2021,K,房地产业,Lev（总负债率）,0.5194184861541286,76
2021,K,房地产业,Cash（现金比率）,0.05500933330303521,38
2021,K,房地产业,TA（总资产，元）,42154351545.08934,76
2021,K,房地产业,TE（净资产，元）,14056585596.559198,75
2021,F,批发零售,SLoan（短期借款比率）,0.09298049359338084,87
2021,F,批发零售,LLoan（长期借款比率）,0.11053262328330121,78
2021,F,批发零售,Lev（总负债率）,0.46732007208269855,127
2021,F,批发零售,Cash（现金比率）,0.07283388431102676,68
2021,F,批发零售,TA（总资产，元）,33813733505.62516,126
2021,F,批发零售,TE（净资产，元）,13075437071.726744,126
2021,J,金融业,SLoan（短期借款比率）,0.04656299671936228,65
2021,J,金融业,LLoan（长期借款比率）,0.10944829503670205,57
2021,J,金融业,Lev（总负债率）,0.7190641181196974,118
2021,J,金融业,Cash（现金比率）,0.12206036650177562,91
2021,J,金融业,TA（总资产，元）,391952555621.6209,117
2021,J,金融业,TE（净资产，元）,45427745764.43535,116
2023,C,制造业,SLoan（短期借款比率）,0.08356742777846445,2867
2023,C,制造业,LLoan（长期借款比率）,0.07127885469594136,2076
2023,C,制造业,Lev（总负债率）,0.38530903811297124,3684
2023,C,制造业,Cash（现金比率）,0.08439081974700871,2224
2023,C,制造业,TA（总资产，元）,12628231788.153437,3684
2023,C,制造业,TE（净资产，元）,5809881455.281321,3668
2023,D,电力热力燃气,SLoan（短期借款比率）,0.08067914999343852,94
2023,D,电力热力燃气,LLoan（长期借款比率）,0.21876853751716657,97
2023,D,电力热力燃气,Lev（总负债率）,0.5497714339732424,107
2023,D,电力热力燃气,Cash（现金比率）,0.05420624764335052,38
2023,D,电力热力燃气,TA（总资产，元）,61303410350.87551,107
2023,D,电力热力燃气,TE（净资产，元）,21632257593.45701,107
2023,G,交通运输,SLoan（短期借款比率）,0.08343466544848693,178
2023,G,交通运输,LLoan（长期借款比率）,0.07305117107443947,124
2023,G,交通运输,Lev（总负债率）,0.43471765707130405,226
2023,G,交通运输,Cash（现金比率）,0.06664129697745334,120
2023,G,交通运输,TA（总资产，元）,18461363013.45398,226
2023,G,交通运输,TE（净资产，元）,9500879627.47433,224
2023,E,建筑业,SLoan（短期借款比率）,0.07521625378224402,92
2023,E,建筑业,LLoan（长期借款比率）,0.10870967944258958,83
2023,E,建筑业,Lev（总负债率）,0.6684408048720688,103
2023,E,建筑业,Cash（现金比率）,0.03337279971908531,51
2023,E,建筑业,TA（总资产，元）,132504495454.15454,103
