年份,指标,均值,中位数,标准差,最小值,最大值,样本量
2015,te,9456235726.700565,1997673465.1,67599033726.69064,4275558.71,1800519000000.0,2795
2015,sloan,0.09640411279106458,0.0637434898125206,0.10544047611981443,0.0,0.4630623969870318,2811
2015,lloan,0.04368480629244003,0.0013599788377003,0.08046834335896,0.0,0.4169861803450488,2811
2015,top1,0.343266340342124,0.32381599999999994,0.14991036354582962,0.002863,0.8998579999999999,2806
2015,hhi5_approx,3.892556554277624e-06,1.7242316100000005e-06,5.73083030632726e-06,1.52497801e-08,3.30759563689e-05,2811
2015,size,22.18821332897873,21.981707263112817,1.470089383876931,15.97917167818854,30.73155384833783,2806
2015,age,11.221629313411597,9.0,7.140355088954016,1.0,26.0,2811
2016,lev,0.4228823794532664,0.4024577951005288,0.21724940619591818,0.0561349807676649,0.9409012243424836,3033
2016,sl,0.3299743656435763,0.3074926726593653,0.17766444355767272,0.0400680947086499,1.0,2979
2016,ll,0.0869736605833521,0.04456893093084875,0.10555960709880183,0.0001353732047301,0.8484868134120663,2900
2016,sdr,0.8163351458122609,0.873405962959766,0.1795030792689178,0.2306994473644527,1.0,2979
2016,cash,0.016377607911458474,0.0003129294788248,0.05135457778645643,0.0,0.5394411531883501,826
2016,ta,66575323627.028435,4003091615.415,826834256663.4653,52616223.25,24137265000000.0,3030
2016,te,10224090190.73821,2281904910.425,70942613102.1631,3805796.92,1981163000000.0,3024
2016,sloan,0.08308744672287818,0.0496070929982773,0.09687890450374137,0.0,0.4302464330485333,3033
2016,lloan,0.06761038353469098,0.0354797625833398,0.08772132413286246,0.0,0.8459697921785474,1761
2016,top1,0.3353518960396039,0.314033,0.14798590179681123,0.0415139999999999,0.89093,3030
2016,hhi5_approx,3.6158823069029345e-06,1.5676542436000004e-06,5.2987754096080215e-06,1.78462881e-08,3.0766102758400005e-05,3033
2016,size,22.299142496803555,22.110332775904517,1.4859405856214587,17.77853505696025,30.814778027747646,3030
2016,age,11.374216946917244,9.0,7.466686430742115,1.0,27.0,3033
2017,lev,0.419422343343166,0.4011727654702379,0.21371563602623458,0.0614350771970379,0.95010284959006,3465
2017,sl,0.33161534040002066,0.3117195598145829,0.17496287648169584,0.0442672664629196,1.0,3399
2017,ll,0.08364087197552891,0.04319712653763375,0.10170072272475356,0.0002595260543281,0.829853411451061,3282
2017,sdr,0.8265965113344684,0.8801134356988516,0.17090452897889621,0.2780761864835595,1.0,3399
2017,cash,0.028329022669596693,0.0023890515827074,0.06626626640700911,7.164141020087254e-06,0.5370291450800095,677
2017,ta,63656659030.48334,3856970596.92,827616941457.6576,53948082.19,26087043000000.0,3461
2017,te,10284266514.100159,2252403548.0,72092679648.60995,1021059.86,2141056000000.0,3447
2017,sloan,0.11532193586230965,0.09142481874485045,0.10076870476928768,0.0009778958989999,1.0,2578
